image_path,absolute_path,prompt,respuesta,module,section,subsection,function_detected,hierarchy_level,screen_type,buttons_visible,form_fields,navigation_elements,main_actions,user_workflow,keywords,additional_metadata,file_size,filename
pantalla principal/Modulo_percepciones_y_reducciones.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Modulo_percepciones_y_reducciones.png,Módulo: Pantalla Principal | Sección: Módulo percepciones y reducciones | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo percepciones y reducciones,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""percepciones y reducciones""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo percepciones y reducciones"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""percepciones y reducciones""]}, ""ai_raw_response"": {}}",315174,Modulo_percepciones_y_reducciones.png
pantalla principal/Pantalla principal.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Pantalla principal.png,Módulo: Pantalla Principal | Función: Visualización de pantalla,Pantalla de Visualización de pantalla,Pantalla Principal,,,Visualización de pantalla,1,,[],[],[],[],,"[""pantalla""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": ""Visualizaci\u00f3n de pantalla"", ""hierarchy_level"": 1, ""keywords"": [""pantalla""]}, ""ai_raw_response"": {}}",306864,Pantalla principal.png
pantalla principal/modulo_compras.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/modulo_compras.png,Módulo: Pantalla Principal | Sección: Módulo compras | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo compras,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""compras""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo compras"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""compras""]}, ""ai_raw_response"": {}}",318661,modulo_compras.png
pantalla principal/modulo_tesoreria.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/modulo_tesoreria.png,Módulo: Pantalla Principal | Sección: Módulo tesoreria | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo tesoreria,,Acceso a módulo,1,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""tesoreria""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo tesoreria"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 1, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""tesoreria""]}, ""ai_raw_response"": {}}",347423,modulo_tesoreria.png
pantalla principal/Catalogos/modulo_catalogos_menu_principal.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/modulo_catalogos_menu_principal.png,Módulo: Pantalla Principal | Sección: Módulo catalogos menu principal | Función: Acceso a módulo,Pantalla de Acceso a módulo,Pantalla Principal,Módulo catalogos menu principal,,Acceso a módulo,2,,[],[],[],[],,"[""m\u00f3dulo"", ""acceso"", ""catalogos menu principal""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": ""M\u00f3dulo catalogos menu principal"", ""subsection"": null, ""function_detected"": ""Acceso a m\u00f3dulo"", ""hierarchy_level"": 2, ""keywords"": [""m\u00f3dulo"", ""acceso"", ""catalogos menu principal""]}, ""ai_raw_response"": {}}",336930,modulo_catalogos_menu_principal.png
pantalla principal/Ayuda/Bnext Info/BnextErp.Application_rskwUl3Ao4.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Ayuda/Bnext Info/BnextErp.Application_rskwUl3Ao4.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,3,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 3, ""keywords"": []}, ""ai_raw_response"": {}}",250339,BnextErp.Application_rskwUl3Ao4.png
pantalla principal/Catalogos/Clientes/BnextErp.Application_rTSazFmhTN.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Clientes/BnextErp.Application_rTSazFmhTN.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,3,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 3, ""keywords"": []}, ""ai_raw_response"": {}}",342615,BnextErp.Application_rTSazFmhTN.png
pantalla principal/Catalogos/Generales/pantalla_catalogos_generales.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/pantalla_catalogos_generales.png,Módulo: Pantalla Principal | Función: Visualización de pantalla,Pantalla de Visualización de pantalla,Pantalla Principal,,,Visualización de pantalla,3,,[],[],[],[],,"[""pantalla""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": ""Visualizaci\u00f3n de pantalla"", ""hierarchy_level"": 3, ""keywords"": [""pantalla""]}, ""ai_raw_response"": {}}",390076,pantalla_catalogos_generales.png
pantalla principal/Catalogos/Impuestos/Pestaña impuestos.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Impuestos/Pestaña impuestos.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,3,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 3, ""keywords"": []}, ""ai_raw_response"": {}}",348560,Pestaña impuestos.png
pantalla principal/Catalogos/Productos/catalogos_productos.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Productos/catalogos_productos.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,3,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 3, ""keywords"": []}, ""ai_raw_response"": {}}",394959,catalogos_productos.png
pantalla principal/Catalogos/Usuarios/BnextErp.Application_1pVA54quno.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Usuarios/BnextErp.Application_1pVA54quno.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,3,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 3, ""keywords"": []}, ""ai_raw_response"": {}}",339427,BnextErp.Application_1pVA54quno.png
pantalla principal/Catalogos/Clientes/Administrador de Clientes/BnextErp.Application_U5y2US86ns.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Clientes/Administrador de Clientes/BnextErp.Application_U5y2US86ns.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",79486,BnextErp.Application_U5y2US86ns.png
pantalla principal/Catalogos/Generales/Cuidad/Cuidad.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Cuidad/Cuidad.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",105070,Cuidad.png
pantalla principal/Catalogos/Generales/Departamentos/Busqueda departamentos.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Departamentos/Busqueda departamentos.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",76011,Busqueda departamentos.png
pantalla principal/Catalogos/Generales/Especialidades Medicas/Busqueda especialidades medicas.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Especialidades Medicas/Busqueda especialidades medicas.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",57770,Busqueda especialidades medicas.png
pantalla principal/Catalogos/Generales/Estado/Estado.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Estado/Estado.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",102360,Estado.png
pantalla principal/Catalogos/Generales/Giro/Giro.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Giro/Giro.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",158257,Giro.png
pantalla principal/Catalogos/Generales/Impresoras/Impresoras_pantalla.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Impresoras/Impresoras_pantalla.png,Módulo: Pantalla Principal | Función: Visualización de pantalla,Pantalla de Visualización de pantalla,Pantalla Principal,,,Visualización de pantalla,4,,[],[],[],[],,"[""pantalla""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": ""Visualizaci\u00f3n de pantalla"", ""hierarchy_level"": 4, ""keywords"": [""pantalla""]}, ""ai_raw_response"": {}}",86151,Impresoras_pantalla.png
pantalla principal/Catalogos/Generales/Migracion de Ubicaciones/Migracion de ubicaciones.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Migracion de Ubicaciones/Migracion de ubicaciones.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",77193,Migracion de ubicaciones.png
pantalla principal/Catalogos/Generales/Moneda/Moneda busqueda.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Moneda/Moneda busqueda.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",42254,Moneda busqueda.png
pantalla principal/Catalogos/Generales/Médicos/Busqueda Medicos.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Médicos/Busqueda Medicos.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",74861,Busqueda Medicos.png
pantalla principal/Catalogos/Generales/Pais/Pais.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Pais/Pais.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",98755,Pais.png
pantalla principal/Catalogos/Generales/Puntos de Venta/Punto de ventas.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Puntos de Venta/Punto de ventas.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",46588,Punto de ventas.png
pantalla principal/Catalogos/Generales/Tipo De Cambio Oficial/Tipo de cambio oficial.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Tipo De Cambio Oficial/Tipo de cambio oficial.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",62664,Tipo de cambio oficial.png
pantalla principal/Catalogos/Generales/Tipo de cambio por ubicacion/Tipo de cambio por ubicacion.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Tipo de cambio por ubicacion/Tipo de cambio por ubicacion.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",111716,Tipo de cambio por ubicacion.png
pantalla principal/Catalogos/Generales/Tipo de impresoras/Tipo de impresoras.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Tipo de impresoras/Tipo de impresoras.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",91338,Tipo de impresoras.png
pantalla principal/Catalogos/Generales/Tipos de Ubicaciones/Tipo_de_Ubicaciones_Busqueda.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Tipos de Ubicaciones/Tipo_de_Ubicaciones_Busqueda.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",41997,Tipo_de_Ubicaciones_Busqueda.png
pantalla principal/Catalogos/Generales/Transportes/Transportes.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Transportes/Transportes.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",55906,Transportes.png
pantalla principal/Catalogos/Generales/Ubicaciones/Pantalla Ubicaciones.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Ubicaciones/Pantalla Ubicaciones.png,Módulo: Pantalla Principal | Función: Visualización de pantalla,Pantalla de Visualización de pantalla,Pantalla Principal,,,Visualización de pantalla,4,,[],[],[],[],,"[""pantalla""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": ""Visualizaci\u00f3n de pantalla"", ""hierarchy_level"": 4, ""keywords"": [""pantalla""]}, ""ai_raw_response"": {}}",76658,Pantalla Ubicaciones.png
pantalla principal/Catalogos/Generales/Unidades de Negocios/Unidades de negocio.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Unidades de Negocios/Unidades de negocio.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",79486,Unidades de negocio.png
pantalla principal/Catalogos/Generales/Variables de sucursal/Variables de sucursal.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Variables de sucursal/Variables de sucursal.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,4,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 4, ""keywords"": []}, ""ai_raw_response"": {}}",62260,Variables de sucursal.png
pantalla principal/Catalogos/Generales/Cuidad/Nuevo/Cuidad Nuevo.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Cuidad/Nuevo/Cuidad Nuevo.png,Módulo: Pantalla Principal | Función: Crear nuevo registro,Pantalla de Crear nuevo registro,Pantalla Principal,,,Crear nuevo registro,5,,[],[],[],[],,"[""agregar"", ""nuevo"", ""crear""]","{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": ""Crear nuevo registro"", ""hierarchy_level"": 5, ""keywords"": [""agregar"", ""nuevo"", ""crear""]}, ""ai_raw_response"": {}}",44597,Cuidad Nuevo.png
pantalla principal/Catalogos/Generales/Cuidad/Nuevo/Nuevo/Tipos de impuestos.png,/root/.ipython/aaaaaaaaaaa/ERP_screenshots/pantalla principal/Catalogos/Generales/Cuidad/Nuevo/Nuevo/Tipos de impuestos.png,Módulo: Pantalla Principal,Pantalla de None,Pantalla Principal,,,,6,,[],[],[],[],,[],"{""ai_analysis_successful"": false, ""structural_analysis"": {""module"": ""Pantalla Principal"", ""section"": null, ""subsection"": null, ""function_detected"": null, ""hierarchy_level"": 6, ""keywords"": []}, ""ai_raw_response"": {}}",69191,Tipos de impuestos.png
